,SITEVISITID,METHOD,OBS_YEAR,REGION,REGION_NAME,ISLAND,POP_STATUS,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,SEC_NAME,SITE,ISL_CODE,ISL_SLOPE,SITE_SLOPE_100m,SITE_SLOPE_200m,SITE_SLOPE_400m,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH,HARD_CORAL,SOFT_CORAL,MA,CCA,TA,SAND,CYANO,OTHER_BENTHIC,ComplexityValue,MEAN_SH,SD_SH_DIFF,MAX_HEIGHT,nCounts,nReps,PISCIVORE,PLANKTIVORE,PRIMARY,SECONDARY,UNKNOWN,TotFish
759,3632,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefMid,Maug,MAU-00135,MAU,31.03845911,4.050549638,5.592937011,15.81967318,19/04/2011,Forereef,Mid,20.03514354,145.2249374,10,42.5,1.5,7.5,3.5,44.5,0.5,0,0,2,NA,NA,NA,2,1,7.268917574,0.294016561,15.57145136,4.179756973,0,27.31414247
760,3633,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefShallow,Maug,MAU-00115,MAU,31.03845911,5.093951768,5.420534954,18.73027389,19/04/2011,Forereef,Shallow,20.0267515,145.2082929,5,1,0,0,0,94.5,4.5,0,0,3.5,NA,NA,NA,2,1,4.163863501,1.784181506,37.67337459,10.25408262,0,53.87550221
761,3634,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefMid,Maug,MAU-00106,MAU,31.03845911,8.072432171,15.12987988,21.98147385,19/04/2011,Forereef,Mid,20.03054079,145.2094031,14,45,1.5,10,5,29.5,9,0,0,2,NA,NA,NA,2,1,8.508384207,0.974956029,12.98254945,4.78845143,0,27.25434112
762,3640,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefDeep,Maug,MAU-00084,MAU,31.03845911,31.40970778,25.85853463,26.44301963,20/04/2011,Forereef,Deep,20.00958234,145.2144627,25,22.5,0,1,11.5,50,15,0,0,2,NA,NA,NA,2,1,20.35812848,46.3425157,33.06335452,7.799108373,0,107.5631071
763,3641,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefDeep,Maug,MAU-00085,MAU,31.03845911,35.47900365,31.06603071,27.73963772,20/04/2011,Forereef,Deep,20.02131013,145.2060879,22,65,0,2.5,2.5,29.5,0.5,0,0,1.5,NA,NA,NA,2,1,7.230247768,51.38406129,19.70014224,2.134817892,0,80.44926918
764,3642,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefMid,Maug,MAU-00126,MAU,31.03845911,6.045910087,13.18905932,23.14248005,20/04/2011,Forereef,Mid,20.01560264,145.2075534,11.5,13.25,0,0,2.5,63,21.25,0,0,2,NA,NA,NA,4,2,2.444186973,2.06497995,16.39112403,3.793567846,0,24.6938588
765,3643,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefShallow,Maug,MAU-00182,MAU,31.03845911,3.864624127,4.865974171,16.7106778,20/04/2011,Forereef,Shallow,20.01346341,145.209488,3,17.5,0,1.25,15,65,1.25,0,0,2.5,NA,NA,NA,4,2,2.296790442,2.867763968,28.69927317,3.869682782,0,37.73351036
766,3647,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefDeep,Maug,MAU-00102,MAU,31.03845911,20.29349393,29.29089596,28.32819426,20/04/2011,Forereef,Deep,20.03501094,145.2149343,23,70,0,1,10,18.5,0.5,0,0,2,NA,NA,NA,2,1,16.89464683,25.48567186,17.62633152,6.279802514,0,66.28645273
767,3648,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefMid,Maug,MAU-00117,MAU,31.03845911,19.31907224,19.50175939,24.40064447,20/04/2011,Forereef,Mid,20.03297757,145.2138837,11.5,37.5,0,20,5,37,0.5,0,0,2,NA,NA,NA,4,2,6.434442237,1.611528575,19.61579541,4.185738704,0,31.84750493
768,3649,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefMid,Maug,MAU-00121,MAU,31.03845911,18.72570856,20.96878106,25.46028841,20/04/2011,Forereef,Mid,20.02274595,145.2072848,12.5,57.5,0.5,2.75,10,26.5,2.75,0,0,3,NA,NA,NA,4,2,7.342949701,4.579039389,16.0348535,11.39050823,0,39.34735082
769,3650,nSPC,2011,N.MARIAN,Mariana Archipelago,Maug,U,Maug,2011,ForereefMid,Maug,MAU-00128,MAU,31.03845911,19.45463533,22.66994605,26.2400555,20/04/2011,Forereef,Mid,20.0196413,145.2077156,8.5,43.75,0.25,2.25,8.75,43.75,1.25,0,0,4.25,NA,NA,NA,4,2,8.722601413,23.41201781,30.26298569,8.668316754,0,71.06592167
770,3651,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00090,AGR,24.71408754,16.26593606,15.84065968,15.91619496,21/04/2011,Forereef,Deep,18.79685573,145.6918644,20,17.5,5,3,3,71,0.5,0,0,3.5,NA,NA,NA,2,1,2.943213994,26.59074824,15.468765,3.617724144,0,48.62045137
771,3652,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00097,AGR,24.71408754,5.053954979,4.746838739,8.055294441,21/04/2011,Forereef,Deep,18.78374208,145.6993967,24,10,3,0,4.5,78.5,4,0,0,2,NA,NA,NA,2,1,33.32043709,14.82712287,12.07299019,10.67252484,0,70.89307498
772,3653,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00079,AGR,24.71408754,8.865390585,11.16725066,18.59186102,21/04/2011,Forereef,Deep,18.7629941,145.7023805,23,32.5,7.5,3.5,5,48.5,3,0,0,2.5,NA,NA,NA,2,1,19.30679115,141.7638588,49.50503371,11.14554765,0,221.7212313
773,3654,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00141,AGR,24.71408754,1.289533183,1.535420227,2.105736843,21/04/2011,Forereef,Shallow,18.7585843,145.6945692,4,1,0,3.5,3.5,77,15,0,0,2,NA,NA,NA,2,1,2.675885393,0.12232578,21.29930821,9.175675849,0,33.27319523
774,3655,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00149,AGR,24.71408754,4.31003522,4.399353793,4.881908223,21/04/2011,Forereef,Shallow,18.74351833,145.6919239,6,3,0,1,6.5,88,1.5,0,0,3.5,NA,NA,NA,2,1,4.806153016,3.379503779,36.33827355,6.658828387,0,51.18275874
775,3656,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefMid,Agrihan,AGR-00180,AGR,24.71408754,9.044453559,8.974208192,15.333738,21/04/2011,Forereef,Mid,18.72453047,145.6664061,15,40,0,0,6.5,38.5,15,0,0,3,NA,NA,NA,2,1,21.28709987,29.96988735,40.54662598,24.80399046,0,116.6076037
776,3660,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00061,AGR,24.71408754,10.06595498,8.389538459,11.31991465,21/04/2011,Forereef,Deep,18.78958267,145.698549,25,32.5,5,0.5,5,55.5,1.5,0,0,2,NA,NA,NA,2,1,29.41920484,9.502643276,30.11032909,7.704426262,0,76.73660347
777,3661,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00087,AGR,24.71408754,10.56133557,9.656734075,13.75918942,21/04/2011,Forereef,Deep,18.77599301,145.7004052,23,35,6,2.5,10,45,1.5,0,0,3,NA,NA,NA,2,1,55.00182039,47.46634373,34.64250781,17.43877243,0,154.5494444
778,3662,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefMid,Agrihan,AGR-00127,AGR,24.71408754,5.370781097,5.943080883,5.532344384,21/04/2011,Forereef,Mid,18.73794705,145.6883491,10.5,22.5,1.75,17.25,2.75,55,0.75,0,0,3.25,NA,NA,NA,4,2,15.60458487,1.229050928,30.708309,18.37826808,0,65.92021288
779,3663,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00136,AGR,24.71408754,2.28024631,2.134121046,2.091435106,21/04/2011,Forereef,Shallow,18.73323835,145.6743713,5,20,0,30,10,40,0,0,0,2,NA,NA,NA,2,1,3.164530557,0.446584355,35.12963608,6.851737374,0,45.59248837
780,3668,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefMid,Agrihan,AGR-00113,AGR,24.71408754,6.360557278,10.4198888,14.07044742,22/04/2011,Forereef,Mid,18.75145021,145.639359,18,22.5,7.5,0,8.5,57.5,4,0,0,3.5,NA,NA,NA,2,1,28.51002847,8.324906624,36.88879208,28.67344124,0,102.3971684
781,3669,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefMid,Agrihan,AGR-00131,AGR,24.71408754,9.493098204,9.912304467,13.04075985,22/04/2011,Forereef,Mid,18.75679149,145.6394757,17.5,32.5,0.75,0,3.75,59.75,3.25,0,0,2,NA,NA,NA,4,2,20.01161154,16.02420601,19.91939732,17.36523502,0,73.3204499
782,3670,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00148,AGR,24.71408754,4.905108362,7.220302796,9.15245759,22/04/2011,Forereef,Shallow,18.77465769,145.6370634,5,3,0,3,0,91.25,2.75,0,0,2,NA,NA,NA,4,2,11.92204346,1.375155604,18.5685628,2.973608828,0,34.83937069
783,3671,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00084,AGR,24.71408754,25.48264188,21.75323293,25.59963037,22/04/2011,Forereef,Deep,18.788402,145.6392749,25,15,0,0,22.5,62,0.5,0,0,3,NA,NA,NA,2,1,15.97082964,26.04777125,49.69538443,5.704184058,0,97.41816938
784,3675,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00086,AGR,24.71408754,6.008477867,5.889321763,9.551859869,22/04/2011,Forereef,Deep,18.77151682,145.6367782,20,5,0,0,1,61.5,32.5,0,0,2,NA,NA,NA,2,1,6.94195022,6.104201925,4.844052143,7.709359066,0,25.59956335
785,3676,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00134,AGR,24.71408754,7.199328537,14.87767702,20.70369924,22/04/2011,Forereef,Shallow,18.76168619,145.6392775,5.5,3,0,12.5,0,72.5,12,0,0,2,NA,NA,NA,2,1,2.308056485,0.250000056,14.96896502,3.214942718,0,20.74196428
786,3677,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00137,AGR,24.71408754,4.318210176,5.521380034,7.682228872,22/04/2011,Forereef,Shallow,18.79965328,145.6458863,5,3.5,0,0,0,86.5,10,0,0,3,NA,NA,NA,2,1,1.426144223,0.209733394,15.950609,4.470121724,0,22.05660834
787,3678,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefDeep,Agrihan,AGR-00181,AGR,24.71408754,23.69408824,25.5271317,26.28125208,22/04/2011,Forereef,Deep,18.79311883,145.641223,24,30,0,3,3,49,15,0,0,3.5,NA,NA,NA,2,1,7.227938036,8.244216224,3.184059637,4.369399621,0,23.02561352
788,3679,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00138,AGR,24.71408754,4.905307183,5.593211386,7.86001601,22/04/2011,Forereef,Shallow,18.80204455,145.6479052,4,6,0,0,1,90.5,2.5,0,0,3,NA,NA,NA,2,1,0.839592406,3.038180655,7.265262644,13.0166555,0,24.15969121
789,3680,nSPC,2011,N.MARIAN,Mariana Archipelago,Agrihan,U,Agrihan,2011,ForereefShallow,Agrihan,AGR-00164,AGR,24.71408754,9.994001394,18.06591209,23.9246783,22/04/2011,Forereef,Shallow,18.77764391,145.6355473,4,5.5,0,10.5,9,75,0,0,0,1.5,NA,NA,NA,2,1,0.473816368,0.53414612,2.781767229,3.071667902,0,6.86139762
790,3681,nSPC,2011,N.MARIAN,Mariana Archipelago,Alamagan,U,Alamagan,2011,ForereefDeep,Alamagan,ALA-00068,ALA,27.42375056,21.62180498,26.79011718,29.27681865,23/04/2011,Forereef,Deep,17.62106423,145.8299634,25,37.5,0,5,4,50,3.5,0,0,2,NA,NA,NA,2,1,20.62547356,86.97498244,13.06604018,15.05887547,0,135.7253717
791,3682,nSPC,2011,N.MARIAN,Mariana Archipelago,Alamagan,U,Alamagan,2011,ForereefMid,Alamagan,ALA-00083,ALA,27.42375056,17.11745434,18.1398703,18.44343704,23/04/2011,Forereef,Mid,17.61747468,145.8216046,11,20,0,1.5,4.5,71.5,2.5,0,0,3,NA,NA,NA,2,1,5.184802628,4.426045455,38.4451213,16.61396503,0,64.66993442
792,3683,nSPC,2011,N.MARIAN,Mariana Archipelago,Alamagan,U,Alamagan,2011,ForereefDeep,Alamagan,ALA-00069,ALA,27.42375056,7.577526292,6.974752159,6.805751306,23/04/2011,Forereef,Deep,17.61018327,145.8160994,22,70.5,2.5,4.5,2.5,2.5,17,0,0.5,3.5,NA,NA,NA,2,1,21.41920374,19.54800636,6.466903525,19.87642994,0,67.31054356
793,3684,nSPC,2011,N.MARIAN,Mariana Archipelago,Alamagan,U,Alamagan,2011,ForereefDeep,Alamagan,ALA-00070,ALA,27.42375056,10.13200428,11.18394815,14.07748346,23/04/2011,Forereef,Deep,17.57860964,145.8254032,19,19.5,0.5,12.5,5,37,25.5,0,0,2,NA,NA,NA,2,1,6.068314983,3.084750472,15.52365196,7.32449056,0,32.00120797
794,3685,nSPC,2011,N.MARIAN,Mariana Archipelago,Alamagan,U,Alamagan,2011,ForereefMid,Alamagan,ALA-00091,ALA,27.42375056,10.29169231,20.08011349,24.45835474,23/04/2011,Forereef,Mid,17.57902237,145.8375706,11,16.5,0.5,12,2.5,46,22.5,0,0,2.5,NA,NA,NA,2,1,6.321157359,9.421125421,14.47183874,14.14440731,0,44.35852883
795,3692,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefDeep,Guguan,GUG-00077,GUG,26.18977596,21.77203365,22.60518007,25.50691244,24/04/2011,Forereef,Deep,17.32107173,145.8460252,23,32.5,0,5.5,17.5,44,0.5,0,0,3,NA,NA,NA,2,1,110.8143472,18.88870466,33.45945518,17.60063362,0,180.7631407
796,3693,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefDeep,Guguan,GUG-00069,GUG,26.18977596,5.663287959,5.765167994,6.326689051,24/04/2011,Forereef,Deep,17.30673306,145.8528129,21,38.5,0,4.5,7,40,10,0,0,3,NA,NA,NA,2,1,11.04431993,7.509389008,14.25454869,4.409977354,0,37.21823499
797,3694,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefMid,Guguan,GUG-00086,GUG,26.18977596,5.146641152,6.396679765,4.844305088,24/04/2011,Forereef,Mid,17.29537616,145.8465841,16,30,2,20,5,41,2,0,0,2,NA,NA,NA,2,1,41.85529508,5.482561716,19.98049191,7.612283199,0,74.93063191
798,3695,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefShallow,Guguan,GUG-00110,GUG,26.18977596,8.094734079,9.873223756,16.37722701,24/04/2011,Forereef,Shallow,17.30222711,145.8328696,5,10,0,1,3,79.5,6.5,0,0,2.5,NA,NA,NA,2,1,5.118819438,0.245734404,17.43192396,11.42381214,0,34.22028995
799,3696,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefShallow,Guguan,GUG-00109,GUG,26.18977596,21.83160867,26.96363367,28.57235959,24/04/2011,Forereef,Shallow,17.31486635,145.8317723,6,15,0,0,15,67.5,2.5,0,0,3,NA,NA,NA,2,1,8.303462995,1.434182674,41.17421462,11.31445041,0,62.22631069
800,3697,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefMid,Guguan,GUG-00092,GUG,26.18977596,26.26096015,28.58569017,29.2129532,24/04/2011,Forereef,Mid,17.32012818,145.8345876,15,29,0,0.5,4,61.5,5,0,0,3.5,NA,NA,NA,2,1,5.235030623,0.911057072,22.84859171,10.41781062,0,39.41249002
801,3698,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefDeep,Guguan,GUG-00060,GUG,26.18977596,6.565370907,5.367874008,4.234008031,24/04/2011,Forereef,Deep,17.29761019,145.8500971,23,35,1.5,5,10,46.5,2,0,0,1.5,NA,NA,NA,2,1,28.46403859,16.04760881,25.59506364,4.92908464,0,75.03579567
802,3699,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefMid,Guguan,GUG-00088,GUG,26.18977596,5.118539286,5.718304275,5.095802255,24/04/2011,Forereef,Mid,17.30181749,145.8505493,13.5,14.25,0,1.25,5.5,77.5,1.5,0,0,2.25,NA,NA,NA,4,2,10.15776309,1.705581208,28.50664425,4.445439515,0,44.81542806
803,3700,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefMid,Guguan,GUG-00087,GUG,26.18977596,4.82616536,5.055410591,4.38817685,24/04/2011,Forereef,Mid,17.29834093,145.8371708,9.5,9.25,3.25,4.5,3,65.25,14.75,0,0,1.5,NA,NA,NA,4,2,10.65158871,1.57216837,28.55488116,10.76151603,0,51.54015427
804,3701,nSPC,2011,N.MARIAN,Mariana Archipelago,Guguan,U,Guguan,2011,ForereefShallow,Guguan,GUG-00106,GUG,26.18977596,9.233381852,14.74048483,24.14558249,24/04/2011,Forereef,Shallow,17.30794022,145.8321583,5,1,0,0,3.5,91.25,4.25,0,0,3,NA,NA,NA,4,2,5.225062026,0.543921847,21.08361269,4.124409315,0,30.97700588
805,3702,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefDeep,Saipan,SAI-00117,SAI,14.53847923,16.04179268,13.68802214,11.50006322,26/04/2011,Forereef,Deep,15.23038041,145.8004967,26,4.5,1,2.5,7,77.5,7.5,0,0,3.5,NA,NA,NA,2,1,1.225404906,0.824781495,26.02503641,17.91397749,0,45.9892003
806,3703,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefDeep,Saipan,SAI-00127,SAI,14.53847923,16.8734335,12.52234402,11.53563195,26/04/2011,Forereef,Deep,15.24626386,145.8094524,21,12.5,0,7.5,5,67.5,7.5,0,0,2,NA,NA,NA,2,1,0.956278809,1.908726101,16.44172885,3.845916103,0,23.15264987
807,3704,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefDeep,Saipan,SAI-00078,SAI,14.53847923,8.130350375,9.204298198,7.768226726,26/04/2011,Forereef,Deep,15.17512472,145.7900917,24,12.5,0.5,2,3,80.5,1.5,0,0,1.5,NA,NA,NA,2,1,6.154446747,5.260438244,26.45332155,16.17654542,0,54.04475196
808,3705,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefMid,Saipan,SAI-00291,SAI,14.53847923,11.83084334,12.26476809,9.692151454,26/04/2011,Forereef,Mid,15.18960086,145.7790374,6,52.5,0.5,5.5,2.5,36.5,2.5,0,0,2,NA,NA,NA,2,1,0.177232961,0.071423104,7.16360166,4.349412811,0,11.76167054
809,3706,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefDeep,Saipan,SAI-00187,SAI,14.53847923,10.69414735,11.05307089,8.815033242,26/04/2011,Forereef,Deep,15.20038485,145.7827019,24,2,0,2.5,0,90.5,5,0,0,1,NA,NA,NA,2,1,1.065585441,1.144159413,2.359581751,1.997601883,0,6.566928488
810,3713,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefDeep,Saipan,SAI-00124,SAI,14.53847923,6.285421113,5.538743382,4.488959218,30/04/2011,Forereef,Deep,15.25223069,145.7114754,22,6,0,12.5,5,69,7.5,0,0,1.5,NA,NA,NA,2,1,0.535122946,1.765414058,3.951497979,3.104505536,0,9.356540519
811,3714,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefDeep,Saipan,SAI-00142,SAI,14.53847923,8.08720327,6.735714661,5.964836626,30/04/2011,Forereef,Deep,15.25651803,145.7353183,23.5,6.25,0.5,31.25,1.5,55.25,5.25,0,0,1.25,NA,NA,NA,4,2,0.412360974,4.282769411,2.768993858,3.810053324,0,11.27417757
812,3715,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefMid,Saipan,SAI-00298,SAI,14.53847923,7.658512267,7.635973938,7.580003853,30/04/2011,Forereef,Mid,15.25353634,145.7594328,12,10,0,7.5,3,77,2.5,0,0,1.5,NA,NA,NA,2,1,1.339963688,1.036476383,6.316795957,3.826759192,0,12.51999522
813,3716,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefShallow,Saipan,SAI-00417,SAI,14.53847923,9.365538196,8.202532114,9.875702721,30/04/2011,Forereef,Shallow,15.25482883,145.7533355,6,20,0,4,3,73,0,0,0,1.5,NA,NA,NA,2,1,0.695691988,0.560291028,2.53398656,4.792851637,0,8.582821214
814,3717,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefShallow,Saipan,SAI-00411,SAI,14.53847923,5.981712629,7.148476531,8.644731854,30/04/2011,Forereef,Shallow,15.25505648,145.7469072,6,22.5,0,7.5,5,65,0,0,0,1.5,NA,NA,NA,2,1,0.868131699,0.840921145,4.653101673,3.846791725,0,10.20894624
815,3722,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefDeep,Saipan,SAI-00100,SAI,14.53847923,4.014175132,4.808667919,4.474309498,30/04/2011,Forereef,Deep,15.24833067,145.706365,20,10,0.5,32.5,1.5,52.5,3,0,0,1,NA,NA,NA,2,1,1.167741175,1.458985674,6.063069734,7.557332958,0,16.24712954
816,3723,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefMid,Saipan,SAI-00221,SAI,14.53847923,7.483200599,6.130993209,4.966492201,30/04/2011,Forereef,Mid,15.25597095,145.7234079,12.5,7.5,1,25,3.5,60.5,2.5,0,0,1,NA,NA,NA,2,1,0.061303844,2.697799052,6.945478892,14.69579925,0,24.40038104
817,3725,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefMid,Saipan,SAI-00400,SAI,14.53847923,7.949826273,7.603523337,9.34709346,30/04/2011,Forereef,Mid,15.25531992,145.7490979,11.6,15,1.5,22.5,4,56,1,0,0,1,NA,NA,NA,2,1,34.1508572,2.973461133,8.643597531,5.179705762,0,50.94762162
818,3726,nSPC,2011,S.MARIAN,Mariana Archipelago,Saipan,P,Saipan,2011,ForereefShallow,Saipan,SAI-00403,SAI,14.53847923,9.365390949,8.315321368,8.395201815,30/04/2011,Forereef,Shallow,15.25379886,145.7564254,5,70,0.5,0.5,5,24,0,0,0,1,NA,NA,NA,2,1,1.725032177,1.293518013,6.529678287,4.956038996,0,14.50426747
819,3727,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefDeep,Rota,ROT-00062,ROT,15.42911781,11.27301022,8.614295634,8.249294126,01/05/2011,Forereef,Deep,14.13171248,145.1552167,20,20,0,2.5,25,42.5,10,0,0,4,NA,NA,NA,2,1,1.089954116,4.401845048,28.53609044,4.370237793,0,38.3981274
820,3728,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefDeep,Rota,ROT-00072,ROT,15.42911781,13.26047721,11.39734066,12.5422121,01/05/2011,Forereef,Deep,14.11064951,145.1659054,24,3.5,0,60,0,35,1.5,0,0,1.5,NA,NA,NA,2,1,2.606841655,1.285006415,10.04240727,4.177664269,0,18.1119196
821,3729,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefMid,Rota,ROT-00121,ROT,15.42911781,4.420149717,7.072479542,7.932962331,01/05/2011,Forereef,Mid,14.11351268,145.2055761,12.5,17.5,1,2.5,5,65.5,3.5,0,5,1.5,NA,NA,NA,2,1,1.771566424,2.071956027,15.59392665,8.336977934,0,27.77442703
822,3730,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefShallow,Rota,ROT-00114,ROT,15.42911781,6.507984432,5.983469368,8.571840043,01/05/2011,Forereef,Shallow,14.11476335,145.2098587,6,15,0,1,12.5,71.5,0,0,0,1.5,NA,NA,NA,2,1,0.476021639,1.387009221,17.98117093,14.19998579,0,34.04418758
823,3731,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefMid,Rota,ROT-00088,ROT,15.42911781,9.869612077,7.350957606,6.671973454,01/05/2011,Forereef,Mid,14.1193438,145.167943,12.4,65,0,6.5,6,17,5,0,0.5,4.5,NA,NA,NA,2,1,2.85788038,7.487338598,5.137451906,7.246204506,0,22.72887539
824,3732,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefDeep,Rota,ROT-00111,ROT,15.42911781,5.095889693,6.904638199,9.519077923,01/05/2011,Forereef,Deep,14.11255019,145.1904732,21,4,1,30,3,49.5,12.5,0,0,1.5,NA,NA,NA,2,1,0.526507058,0.937017733,5.354493382,4.109366153,0,10.92738433
825,3733,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefDeep,Rota,ROT-00066,ROT,15.42911781,15.08769053,15.71954199,17.786281,01/05/2011,Forereef,Deep,14.12145345,145.1307357,24,3,1,44,5,42,5,0,0,3.5,NA,NA,NA,2,1,17.73820503,1.181822777,35.39934542,9.700523759,0,64.01989699
826,3734,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefMid,Rota,ROT-00076,ROT,15.42911781,7.175901668,6.383945294,5.433285948,01/05/2011,Forereef,Mid,14.12767349,145.1650403,15,60,0,0,0,22,17.5,0,0.5,3.5,NA,NA,NA,2,1,4.335329023,1.096045881,33.23439709,2.991710788,0,41.65748278
827,3735,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefShallow,Rota,ROT-00134,ROT,15.42911781,6.054530902,6.051418338,7.572168964,01/05/2011,Forereef,Shallow,14.11407553,145.1814365,6,10,1.5,35,10,43.5,0,0,0,1.5,NA,NA,NA,2,1,0.020434615,0.359481058,1.751253243,2.685233551,0,4.816402467
828,3736,nSPC,2011,S.MARIAN,Mariana Archipelago,Rota,P,Rota,2011,ForereefMid,Rota,ROT-00172,ROT,15.42911781,18.26969688,18.06817428,20.86358616,01/05/2011,Forereef,Mid,14.12226615,145.2204948,14,12.5,0,10,10,67.5,0,0,0,3,NA,NA,NA,2,1,1.979857024,1.278742255,8.238429687,5.36405278,0,16.86108175
